,Time_in_Secs,Frame_Number_secs,Starter_Duel,Starter_Number_1,Starter_Number_2,Starter_Number_3,Starter_Number_Final,Starter_Lets_Rock,Ender_Slash,Ender_Perfect,Ender_Double_KO,Ender_Times_Up,Ender_Draw,Game_UI_Timer_Outline,Anji_Mito_1P_Portrait,Anji_Mito_2P_Portrait,Axl_1P_Portrait,Axl_2P_Portrait,Baiken_1P_Portrait,Baiken_2P_Portrait,Chipp_1P_Portrait,Chipp_2P_Portrait,Faust_1P_Portrait,Faust_2P_Portrait,Giovanna_1P_Portrait,Giovanna_2P_Portrait,Goldlewis_1P_Portrait,Goldlewis_2P_Portrait,Happy_Chaos_1P_Portrait,Happy_Chaos_2P_Portrait,I-no_1P_Portrait,I-no_2P_Portrait,Jack-O_1P_Portrait,Jack-O_2P_Portrait,Ky_1P_Portrait,Ky_2P_Portrait,Leo_1P_Portrait,Leo_2P_Portrait,May_1P_Portrait,May_2P_Portrait,Millia_1P_Portrait,Millia_2P_Portrait,Nagoriyuki_1P_Portrait,Nagoriyuki_2P_Portrait,Potemkin_1P_Portrait,Potemkin_2P_Portrait,Ramlethal_1P_Portrait,Ramlethal_2P_Portrait,Sol_1P_Portrait,Sol_2P_Portrait,Testament_1P_Portrait,Testament_2P_Portrait,Zato_1P_Portrait,Zato_2P_Portrait,1P_High_Health,1P_Low_Health,2P_High_Health,2P_Low_Health,Ender_1P_Win,Ender_2P_Win
14,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44151541590690613,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
15,7,7.5,0.0,0.0,0.0,0.0,0.0,0.7983570694923401,0.0,0.0,0.0,0.0,0.0,0.4617610573768616,0,0,0,0,0.44150322675704956,0.46266448497772217,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,212,0,0,0,0.0,0.0
16,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6738854050636292,0,0,0,0,0.5856621265411377,0.5551325678825378,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,662,0,651,0,0.0,0.0
17,8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480191946029663,0,0,0,0,0.5861077904701233,0.5620866417884827,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,660,0,651,0,0.0,0.0
18,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181575059890747,0,0,0,0,0.5764880776405334,0.5665065050125122,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,694,0,302,0,0.0,0.0
19,9,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6559813022613525,0,0,0,0,0.5735880732536316,0.5838772058486938,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,694,0,592,0,0.0,0.0
20,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375675797462463,0,0,0,0,0.5045192837715149,0.5422713756561279,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,663,0,522,0,0.0,0.0
21,10,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6464512348175049,0,0,0,0,0.5158952474594116,0.5559630990028381,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,650,0,523,0,0.0,0.0
22,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615452229976654,0,0,0,0,0.5103341341018677,0.5241197347640991,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,693,0,360,0,0.0,0.0
23,11,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6540209650993347,0,0,0,0,0.523629367351532,0.540511429309845,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,693,0,460,0,0.0,0.0
24,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6676805019378662,0,0,0,0,0.5494160652160645,0.5477539896965027,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,651,0,459,0,0.0,0.0
25,12,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6510545015335083,0,0,0,0,0.5293707847595215,0.5327600240707397,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,689,0,427,0,0.0,0.0
26,13,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5576939582824707,0,0,0,0,0.5361267924308777,0.5617023706436157,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,685,0,426,0,0.0,0.0
27,13,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6467390656471252,0,0,0,0,0.5363162159919739,0.45734119415283203,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,687,0,426,0,0.0,0.0
28,14,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6450983881950378,0,0,0,0,0.5400450229644775,0.5144275426864624,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,588,0,424,0,0.0,0.0
29,14,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6554770469665527,0,0,0,0,0.5442597270011902,0.5311675667762756,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,520,0,426,0,0.0,0.0
30,15,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615262627601624,0,0,0,0,0.580234169960022,0.5931991934776306,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,520,0,426,0,0.0,0.0
31,15,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788751482963562,0,0,0,0,0.5790146589279175,0.4625295102596283,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,519,0,426,0,0.0,0.0
32,16,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6163212656974792,0,0,0,0,0.5793232321739197,0.49485036730766296,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,308,0,372,0,0.0,0.0
33,16,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425405740737915,0,0,0,0,0.5781470537185669,0.5141466856002808,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,521,0,372,0,0.0,0.0
34,17,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6530739068984985,0,0,0,0,0.5725194811820984,0.5327978134155273,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,520,0,372,0,0.0,0.0
35,17,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6630766987800598,0,0,0,0,0.5734587907791138,0.5554707646369934,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,521,0,0,0,0.0,0.0
36,18,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6638392806053162,0,0,0,0,0.5729995369911194,0.5619962811470032,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,279,0,371,0,0.0,0.0
37,18,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6671908497810364,0,0,0,0,0.5758907198905945,0.5794242024421692,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,459,0,370,0,0.0,0.0
38,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6543006896972656,0,0,0,0,0.5745026469230652,0.5820018649101257,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,459,0,372,0,0.0,0.0
39,19,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5731393098831177,0.5529115796089172,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,460,0,358,0,0.0,0.0
40,20,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6386065483093262,0,0,0,0,0.6001167297363281,0.6365770697593689,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,458,0,371,0,0.0,0.0
41,20,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.600989043712616,0.6181746125221252,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,460,0,290,0,0.0,0.0
42,21,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.611312985420227,0,0,0,0,0.6008735299110413,0.6164882779121399,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,370,0,0.0,0.0
43,21,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395626664161682,0,0,0,0,0.6003880500793457,0.6324207186698914,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,459,0,317,0,0.0,0.0
44,22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6420082449913025,0,0,0,0,0.6003880500793457,0.6130812764167786,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,437,0,317,0,0.0,0.0
45,22,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.650799572467804,0,0,0,0,0.5934510231018066,0.6205543279647827,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,458,0,317,0,0.0,0.0
46,23,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471104025840759,0,0,0,0,0.5908291339874268,0.6251003742218018,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,460,0,317,0,0.0,0.0
47,23,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4871988892555237,0,0,0,0,0.4483497142791748,0.5261092185974121,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,294,0,316,0,0.0,0.0
48,24,24.0,0.4955434203147888,0.2889578640460968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.48921284079551697,0.5601558089256287,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,316,0,0.0,0.0
49,24,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5136139392852783,0,0,0,0,0.3258538246154785,0.5503911972045898,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,336,0,316,0,0.0,0.0
50,25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478608250617981,0,0,0,0,0.5011831521987915,0.5830615758895874,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,317,0,0.0,0.0
51,25,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6401199698448181,0,0,0,0,0.49964165687561035,0.5456749200820923,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,317,0,0.0,0.0
52,26,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6539482474327087,0,0,0,0,0.5014906525611877,0.5823662281036377,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,316,0,0.0,0.0
53,26,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6443358659744263,0,0,0,0,0.35202109813690186,0.56276935338974,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,316,0,0.0,0.0
54,27,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642713189125061,0,0,0,0,0.4871366024017334,0.588563084602356,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,316,0,0.0,0.0
55,27,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373932957649231,0,0,0,0,0.48790159821510315,0.5825489163398743,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,276,0,316,0,0.0,0.0
56,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5067571997642517,0.5629884004592896,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,229,0,0.0,0.0
57,28,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773183107376099,0,0,0,0,0.5102554559707642,0.532261312007904,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,368,0,316,0,0.0,0.0
58,29,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5683597326278687,0,0,0,0,0.5055784583091736,0.5377559065818787,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,372,0,314,0,0.0,0.0
59,29,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293091177940369,0,0,0,0,0.5060462355613708,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,372,0,316,0,0.0,0.0
60,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5301291346549988,0,0,0,0,0.5767884850502014,0.5769424438476562,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,200,0,0.0,0.0
61,30,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6540369987487793,0,0,0,0,0.5633274912834167,0.5677105188369751,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,374,0,265,0,0.0,0.0
62,31,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592136800289154,0,0,0,0,0.5649458169937134,0.5788425207138062,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0
63,31,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6241461038589478,0,0,0,0,0.5618728399276733,0.5852929949760437,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,297,0,0,138,0.0,0.0
64,32,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6488595008850098,0,0,0,0,0.5661224722862244,0.5880130529403687,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,294,0,0,0,0.0,0.0
65,32,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3837762475013733,0,0,0,0,0.5661224722862244,0.5115159749984741,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,294,0,0,115,0.0,0.0
66,33,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5040618181228638,0,0,0,0,0.5493586659431458,0.45275044441223145,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,294,0,0,34,0.0,0.0
67,33,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729348063468933,0,0,0,0,0.5083395838737488,0.4806573688983917,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,296,0,0,61,0.0,0.0
68,34,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6184123754501343,0,0,0,0,0.5391114354133606,0.5123942494392395,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,88,0.0,0.0
